質問ID,質問タイトル,政党名,エントロピー
0,取り組みたい分野,れいわ,0.0
0,取り組みたい分野,共産,0.0
0,取り組みたい分野,参政,0.0
0,取り組みたい分野,国民,1.311278124459133
0,取り組みたい分野,立民,2.769647143716184
0,取り組みたい分野,維新,2.063458298648303
0,取り組みたい分野,自民,2.60437541369828
1,改正政治資金規正法の効果,れいわ,0.0
1,改正政治資金規正法の効果,共産,0.0
1,改正政治資金規正法の効果,参政,0.0
1,改正政治資金規正法の効果,国民,0.8112781244591328
1,改正政治資金規正法の効果,立民,0.9103480624345155
1,改正政治資金規正法の効果,維新,1.2419460322060458
1,改正政治資金規正法の効果,自民,0.8792627450805205
2,政策活動費廃止の賛否,れいわ,0.0
2,政策活動費廃止の賛否,共産,0.0
2,政策活動費廃止の賛否,参政,0.0
2,政策活動費廃止の賛否,国民,0.0
2,政策活動費廃止の賛否,立民,0.31790121541508787
2,政策活動費廃止の賛否,維新,0.3533593350214213
2,政策活動費廃止の賛否,自民,1.2602078229255897
3,企業・団体献金禁止の賛否,れいわ,0.0
3,企業・団体献金禁止の賛否,共産,0.0
3,企業・団体献金禁止の賛否,参政,0.0
3,企業・団体献金禁止の賛否,国民,1.1994602933016412
3,企業・団体献金禁止の賛否,立民,0.5219490794046293
3,企業・団体献金禁止の賛否,維新,0.0
3,企業・団体献金禁止の賛否,自民,0.6952931325325006
4,物価高騰対策で最優先すべきこと,れいわ,0.0
4,物価高騰対策で最優先すべきこと,共産,0.0
4,物価高騰対策で最優先すべきこと,参政,0.0
4,物価高騰対策で最優先すべきこと,国民,1.7489992230622806
4,物価高騰対策で最優先すべきこと,立民,1.8167381799544866
4,物価高騰対策で最優先すべきこと,維新,0.3533593350214213
4,物価高騰対策で最優先すべきこと,自民,0.9711580961275045
5,基礎的財政収支　黒字化への考え方,れいわ,0.0
5,基礎的財政収支　黒字化への考え方,共産,0.0
5,基礎的財政収支　黒字化への考え方,参政,0.0
5,基礎的財政収支　黒字化への考え方,国民,0.0
5,基礎的財政収支　黒字化への考え方,立民,0.7401470427139037
5,基礎的財政収支　黒字化への考え方,維新,0.9709505944546688
5,基礎的財政収支　黒字化への考え方,自民,0.48890859144051524
6,大企業・富裕層への課税強化賛否,れいわ,0.0
6,大企業・富裕層への課税強化賛否,共産,0.0
6,大企業・富裕層への課税強化賛否,参政,0.0
6,大企業・富裕層への課税強化賛否,国民,1.1216407621868583
6,大企業・富裕層への課税強化賛否,立民,0.2713895875081111
6,大企業・富裕層への課税強化賛否,維新,0.8366407419411673
6,大企業・富裕層への課税強化賛否,自民,1.549243343982017
7,社会保険料負担への考え方,れいわ,0.0
7,社会保険料負担への考え方,共産,0.0
7,社会保険料負担への考え方,参政,0.0
7,社会保険料負担への考え方,国民,1.5461796919474975
7,社会保険料負担への考え方,立民,0.7942556838305387
7,社会保険料負担への考え方,維新,0.3533593350214213
7,社会保険料負担への考え方,自民,1.8030889576651876
8,マイナ保険証で保険証廃止の是非,れいわ,0.0
8,マイナ保険証で保険証廃止の是非,共産,0.0
8,マイナ保険証で保険証廃止の是非,参政,0.0
8,マイナ保険証で保険証廃止の是非,国民,1.75
8,マイナ保険証で保険証廃止の是非,立民,1.136094248732146
8,マイナ保険証で保険証廃止の是非,維新,1.1589385323502772
8,マイナ保険証で保険証廃止の是非,自民,1.2602078229255895
9,少子化対策で最優先すべきこと,れいわ,1.3787834934861756
9,少子化対策で最優先すべきこと,共産,0.0
9,少子化対策で最優先すべきこと,参政,0.0
9,少子化対策で最優先すべきこと,国民,1.5919171866886994
9,少子化対策で最優先すべきこと,立民,1.330898945223651
9,少子化対策で最優先すべきこと,維新,1.3752793655393791
9,少子化対策で最優先すべきこと,自民,1.7325391418720404
10,少子化対策の財源　誰が負担すべきか,れいわ,0.0
10,少子化対策の財源　誰が負担すべきか,共産,0.0
10,少子化対策の財源　誰が負担すべきか,参政,0.0
10,少子化対策の財源　誰が負担すべきか,国民,0.6962122601251458
10,少子化対策の財源　誰が負担すべきか,立民,1.0777689060383437
10,少子化対策の財源　誰が負担すべきか,維新,1.2309595631140104
10,少子化対策の財源　誰が負担すべきか,自民,0.9976498514006221
11,高校無償化　所得制限撤廃の賛否,れいわ,0.0
11,高校無償化　所得制限撤廃の賛否,共産,0.0
11,高校無償化　所得制限撤廃の賛否,参政,0.0
11,高校無償化　所得制限撤廃の賛否,国民,0.3372900666170139
11,高校無償化　所得制限撤廃の賛否,立民,0.31790121541508787
11,高校無償化　所得制限撤廃の賛否,維新,0.0
11,高校無償化　所得制限撤廃の賛否,自民,1.286571709784646
12,防衛力強化　5年間で43兆円の是非,れいわ,0.0
12,防衛力強化　5年間で43兆円の是非,共産,0.0
12,防衛力強化　5年間で43兆円の是非,参政,0.0
12,防衛力強化　5年間で43兆円の是非,国民,1.4913146570363984
12,防衛力強化　5年間で43兆円の是非,立民,0.9327931047282928
12,防衛力強化　5年間で43兆円の是非,維新,1.3382689280764646
12,防衛力強化　5年間で43兆円の是非,自民,1.3118064288759268
13,防衛増税の賛否,れいわ,0.0
13,防衛増税の賛否,共産,0.0
13,防衛増税の賛否,参政,0.0
13,防衛増税の賛否,国民,0.0
13,防衛増税の賛否,立民,0.31790121541508787
13,防衛増税の賛否,維新,0.3533593350214213
13,防衛増税の賛否,自民,1.4883676212314267
14,非核三原則をどうすべきか,れいわ,0.0
14,非核三原則をどうすべきか,共産,0.0
14,非核三原則をどうすべきか,参政,0.0
14,非核三原則をどうすべきか,国民,0.8683927290103626
14,非核三原則をどうすべきか,立民,0.0
14,非核三原則をどうすべきか,維新,1.2419460322060458
14,非核三原則をどうすべきか,自民,1.176546833642841
15,憲法改正の要否,れいわ,0.0
15,憲法改正の要否,共産,0.0
15,憲法改正の要否,参政,0.0
15,憲法改正の要否,国民,0.6685644431995965
15,憲法改正の要否,立民,1.074650441242476
15,憲法改正の要否,維新,0.0
15,憲法改正の要否,自民,0.0
16,自衛隊明記で9条改正の賛否,れいわ,0.0
16,自衛隊明記で9条改正の賛否,共産,0.0
16,自衛隊明記で9条改正の賛否,参政,0.0
16,自衛隊明記で9条改正の賛否,国民,1.4197367178034828
16,自衛隊明記で9条改正の賛否,立民,0.3650551896402849
16,自衛隊明記で9条改正の賛否,維新,0.5665095065529053
16,自衛隊明記で9条改正の賛否,自民,0.0
17,緊急事態条項創設で憲法改正の賛否,れいわ,0.0
17,緊急事態条項創設で憲法改正の賛否,共産,0.0
17,緊急事態条項創設で憲法改正の賛否,参政,0.0
17,緊急事態条項創設で憲法改正の賛否,国民,1.1216407621868583
17,緊急事態条項創設で憲法改正の賛否,立民,0.446481346896803
17,緊急事態条項創設で憲法改正の賛否,維新,0.9055872616982602
17,緊急事態条項創設で憲法改正の賛否,自民,0.0
18,女性天皇の賛否,れいわ,0.0
18,女性天皇の賛否,共産,0.0
18,女性天皇の賛否,参政,0.0
18,女性天皇の賛否,国民,1.014097655573916
18,女性天皇の賛否,立民,0.5219490794046293
18,女性天皇の賛否,維新,1.0529815751302696
18,女性天皇の賛否,自民,1.5803369961443987
19,女系天皇が皇位を継承すること賛否,れいわ,0.0
