質問ID,質問タイトル,質問文,政党名,回答,人数,候補者数,割合
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,経済政策,50,85,0.5882352941176471
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,子ども・教育政策,21,85,0.24705882352941178
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,農林水産政策,7,85,0.08235294117647059
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,政治とカネの問題など政治改革,3,85,0.03529411764705882
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,外交・安全保障政策,2,85,0.023529411764705882
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,社会保障政策,1,85,0.011764705882352941
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,その他,1,85,0.011764705882352941
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,経済政策,126,266,0.47368421052631576
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,地方の活性化,37,266,0.13909774436090225
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,外交・安全保障政策,28,266,0.10526315789473684
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,子ども・教育政策,15,266,0.05639097744360902
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,社会保障政策,12,266,0.045112781954887216
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,災害対策,10,266,0.03759398496240601
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,農林水産政策,9,266,0.03383458646616541
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,政治とカネの問題など政治改革,9,266,0.03383458646616541
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,その他,7,266,0.02631578947368421
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,回答しない,5,266,0.018796992481203006
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,憲法改正,3,266,0.011278195488721804
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,回答なし,2,266,0.007518796992481203
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,エネルギー・環境政策,2,266,0.007518796992481203
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,行財政改革,1,266,0.0037593984962406013
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,経済政策,54,213,0.2535211267605634
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,社会保障政策,48,213,0.22535211267605634
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,子ども・教育政策,46,213,0.215962441314554
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,政治とカネの問題など政治改革,27,213,0.1267605633802817
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,外交・安全保障政策,17,213,0.07981220657276995
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,エネルギー・環境政策,8,213,0.03755868544600939
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,農林水産政策,6,213,0.028169014084507043
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,その他,3,213,0.014084507042253521
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,地方の活性化,2,213,0.009389671361502348
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,災害対策,1,213,0.004694835680751174
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,回答しない,1,213,0.004694835680751174
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,子ども・教育政策,41,163,0.25153374233128833
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,経済政策,40,163,0.24539877300613497
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,社会保障政策,25,163,0.15337423312883436
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,政治とカネの問題など政治改革,23,163,0.1411042944785276
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,行財政改革,12,163,0.0736196319018405
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,外交・安全保障政策,9,163,0.05521472392638037
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,地方の活性化,7,163,0.04294478527607362
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,農林水産政策,2,163,0.012269938650306749
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,エネルギー・環境政策,2,163,0.012269938650306749
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,憲法改正,1,163,0.006134969325153374
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,その他,1,163,0.006134969325153374
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,経済政策,58,207,0.28019323671497587
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,子ども・教育政策,40,207,0.1932367149758454
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,社会保障政策,30,207,0.14492753623188406
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,政治とカネの問題など政治改革,26,207,0.12560386473429952
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,地方の活性化,18,207,0.08695652173913043
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,農林水産政策,10,207,0.04830917874396135
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,その他,8,207,0.03864734299516908
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,エネルギー・環境政策,6,207,0.028985507246376812
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,外交・安全保障政策,5,207,0.024154589371980676
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,行財政改革,4,207,0.01932367149758454
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,災害対策,2,207,0.00966183574879227
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,経済政策,20,81,0.24691358024691357
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,子ども・教育政策,11,81,0.13580246913580246
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,外交・安全保障政策,10,81,0.12345679012345678
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,その他,10,81,0.12345679012345678
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,政治とカネの問題など政治改革,6,81,0.07407407407407407
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,農林水産政策,5,81,0.06172839506172839
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,エネルギー・環境政策,4,81,0.04938271604938271
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,社会保障政策,3,81,0.037037037037037035
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,回答なし,3,81,0.037037037037037035
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,地方の活性化,3,81,0.037037037037037035
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,災害対策,2,81,0.024691358024691357
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,行財政改革,2,81,0.024691358024691357
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,無,憲法改正,2,81,0.024691358024691357
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,公明,経済政策,3,11,0.2727272727272727
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,公明,政治とカネの問題など政治改革,2,11,0.18181818181818182
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,公明,社会保障政策,2,11,0.18181818181818182
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,公明,災害対策,2,11,0.18181818181818182
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,公明,農林水産政策,1,11,0.09090909090909091
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,公明,回答しない,1,11,0.09090909090909091
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,経済政策,27,41,0.6585365853658537
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,子ども・教育政策,3,41,0.07317073170731707
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,地方の活性化,3,41,0.07317073170731707
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,社会保障政策,3,41,0.07317073170731707
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,回答なし,1,41,0.024390243902439025
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,その他,1,41,0.024390243902439025
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,外交・安全保障政策,1,41,0.024390243902439025
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,政治とカネの問題など政治改革,1,41,0.024390243902439025
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,農林水産政策,1,41,0.024390243902439025
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,れいわ,経済政策,18,19,0.9473684210526315
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,れいわ,エネルギー・環境政策,1,19,0.05263157894736842
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,みんな,子ども・教育政策,3,6,0.5
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,みんな,政治とカネの問題など政治改革,1,6,0.16666666666666666
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,みんな,回答しない,1,6,0.16666666666666666
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,みんな,エネルギー・環境政策,1,6,0.16666666666666666
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,諸派,経済政策,3,7,0.42857142857142855
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,諸派,外交・安全保障政策,3,7,0.42857142857142855
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,諸派,地方の活性化,1,7,0.14285714285714285
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,社民,子ども・教育政策,4,10,0.4
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,社民,農林水産政策,2,10,0.2
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,社民,政治とカネの問題など政治改革,2,10,0.2
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,社民,経済政策,1,10,0.1
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,社民,外交・安全保障政策,1,10,0.1
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,保守,経済政策,3,4,0.75
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,保守,政治とカネの問題など政治改革,1,4,0.25
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,参政,あまりない,36,85,0.4235294117647059
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,参政,まったくない,32,85,0.3764705882352941
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,参政,ある程度ある,12,85,0.1411764705882353
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,参政,回答しない,4,85,0.047058823529411764
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,参政,大いにある,1,85,0.011764705882352941
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,ある程度ある,205,266,0.7706766917293233
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,大いにある,28,266,0.10526315789473684
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,回答しない,16,266,0.06015037593984962
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,あまりない,15,266,0.05639097744360902
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,回答なし,2,266,0.007518796992481203
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,共産,まったくない,206,213,0.9671361502347418
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,共産,あまりない,6,213,0.028169014084507043
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,共産,大いにある,1,213,0.004694835680751174
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,維新,ある程度ある,95,163,0.5828220858895705
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,維新,あまりない,49,163,0.3006134969325153
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,維新,まったくない,17,163,0.10429447852760736
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,維新,大いにある,2,163,0.012269938650306749
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,立民,まったくない,154,207,0.7439613526570048
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,立民,あまりない,48,207,0.2318840579710145
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,立民,大いにある,3,207,0.014492753623188406
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,立民,ある程度ある,2,207,0.00966183574879227
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,無,まったくない,27,81,0.3333333333333333
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,無,あまりない,24,81,0.2962962962962963
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,無,ある程度ある,20,81,0.24691358024691357
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,無,回答しない,4,81,0.04938271604938271
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,無,大いにある,3,81,0.037037037037037035
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,無,回答なし,3,81,0.037037037037037035
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,公明,ある程度ある,9,11,0.8181818181818182
