質問ID,質問タイトル,質問文,党派名,回答,人数,候補者数,割合
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,経済政策,17,47,0.3617021276595745
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,地方の活性化,11,47,0.23404255319148937
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,外交・安全保障政策,5,47,0.10638297872340426
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,災害対策,4,47,0.0851063829787234
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,子ども・教育政策,3,47,0.06382978723404255
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,社会保障政策,3,47,0.06382978723404255
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,農林水産政策,2,47,0.0425531914893617
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,政治とカネの問題など政治改革,1,47,0.02127659574468085
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,エネルギー・環境政策,1,47,0.02127659574468085
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,子ども・教育政策,12,43,0.27906976744186046
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,経済政策,11,43,0.2558139534883721
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,社会保障政策,7,43,0.16279069767441862
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,農林水産政策,3,43,0.06976744186046512
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,地方の活性化,3,43,0.06976744186046512
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,政治とカネの問題など政治改革,2,43,0.046511627906976744
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,外交・安全保障政策,2,43,0.046511627906976744
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,行財政改革,1,43,0.023255813953488372
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,その他,1,43,0.023255813953488372
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,エネルギー・環境政策,1,43,0.023255813953488372
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,経済政策,12,16,0.75
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,外交・安全保障政策,1,16,0.0625
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,社会保障政策,1,16,0.0625
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,地方の活性化,1,16,0.0625
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,農林水産政策,1,16,0.0625
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,子ども・教育政策,7,15,0.4666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,経済政策,4,15,0.26666666666666666
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,社会保障政策,1,15,0.06666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,外交・安全保障政策,1,15,0.06666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,その他,1,15,0.06666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,政治とカネの問題など政治改革,1,15,0.06666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,れいわ,経済政策,7,7,1.0
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,子ども・教育政策,1,1,1.0
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,子ども・教育政策,1,1,1.0
